Date,Inf-Adj TR
1929-06-19,-0.003926905
1929-06-20,0.005557156
1929-06-21,0.005524975
1929-06-24,-1.42E-04
1929-06-25,0.010376475
1929-06-26,0.005806024
1929-06-27,0.001705926
1929-06-28,0.010924096
1929-07-01,0.012706646
1929-07-02,0.010015641
1929-07-03,0.00384934
1929-07-05,0.004540816
1929-07-08,0.001338326
1929-07-09,-0.003599612
1929-07-10,-0.003256101
1929-07-11,0.001700378
1929-07-12,0.010542322
1929-07-15,-0.004627422
1929-07-16,0.006602595
1929-07-17,0.002016
1929-07-18,-0.002516348
1929-07-19,0.003061937
1929-07-22,-0.011901516
1929-07-23,0.013642398
1929-07-24,-0.007017638
1929-07-25,0.004111895
1929-07-26,-0.004250674
1929-07-29,-0.017175327
1929-07-30,0.010928325
1929-07-31,0.012906052
1929-08-01,0.007048103
1929-08-02,0.016629015
1929-08-05,-0.000553662
1929-08-06,-0.003600938
1929-08-07,-0.010070854
1929-08-08,0.011794676
1929-08-09,-0.036863908
1929-08-12,0.031483009
1929-08-13,0.009005709
1929-08-14,0.003170608
1929-08-15,0.001810875
1929-08-16,0.018660069
1929-08-19,0.00938828
1929-08-20,0.006024499
1929-08-21,-0.004114461
1929-08-22,0.007978899
1929-08-23,0.00986625
1929-08-26,-0.000520434
1929-08-27,-0.00052088
1929-08-28,-0.001809475
1929-08-29,0.009803434
1929-08-30,0.013545614
1929-09-03,0.003588393
1929-09-04,-0.003023285
1929-09-05,-0.021948641
1929-09-06,0.02623161
1929-09-09,-0.00490728
1929-09-10,-0.017878681
1929-09-11,0.013945823
1929-09-12,-0.011298305
1929-09-13,0.006856639
1929-09-16,0.015415855
1929-09-17,-0.00804131
1929-09-18,0.00265107
1929-09-19,0.001697707
1929-09-20,-0.010596019
1929-09-23,-0.000199149
1929-09-24,-0.018363687
1929-09-25,0.001742833
1929-09-26,0.009195567
1929-09-27,-0.027506629
1929-09-30,-0.003514537
1929-10-01,-0.005833223
1929-10-02,0.007473205
1929-10-03,-0.04125578
1929-10-04,-0.010227782
1929-10-07,0.062613167
1929-10-08,-0.003150237
1929-10-09,-0.002172239
1929-10-10,0.017974359
1929-10-11,-0.001487871
1929-10-14,-0.006692134
1929-10-15,-0.00804836
1929-10-16,-0.03484852
1929-10-17,0.015524858
1929-10-18,-0.028494254
1929-10-21,-0.038353264
1929-10-22,0.019608441
1929-10-23,-0.058938276
1929-10-24,-0.031819941
1929-10-25,0.014503917
1929-10-28,-0.129267843
1929-10-29,-0.101448167
1929-10-30,0.125440869
1929-10-31,0.050591667
1929-11-04,-0.052402659
1929-11-06,-0.09902783
1929-11-07,0.037060675
1929-11-08,-0.008705641
1929-11-11,-0.062137525
1929-11-12,-0.056712961
1929-11-13,-0.056942229
1929-11-14,0.089653098
1929-11-15,0.055278877
1929-11-18,-0.010159405
1929-11-19,0.030548789
1929-11-20,0.027721556
1929-11-21,0.016170376
1929-11-22,-0.003516616
1929-11-25,-0.01142633
1929-11-26,-0.02895001
